t_id_fuenteadministrativa;tipo_fuenteadministrativa;ente_emisor;fecha_documento_fuente
484562;Documento_Publico.Escritura_Publica;NOTARIA SEGUNDA DE SANTA MARTA;
484681;Documento_Publico.Escritura_Publica;NOTARIA;
301701;Documento_Publico.Escritura_Publica;NOTARIA 1 DE SANTA MARTA;
297781;Documento_Publico.Escritura_Publica;NOTARIA SEGUNDA DE SANTA MARTA;
512230;Documento_Publico.Escritura_Publica;NOTARIA TERCERA DE BUCARAMANGA;
299073;Documento_Publico.Escritura_Publica;;
511743;Documento_Publico.Escritura_Publica;;
498032;Documento_Publico.Escritura_Publica;;
484934;Documento_Publico.Escritura_Publica;NOTARIA;
484664;Documento_Publico.Escritura_Publica;NOTARIA;
484874;Documento_Publico.Escritura_Publica;NOTARIA;
297788;Documento_Publico.Escritura_Publica;;
484680;Documento_Publico.Escritura_Publica;NOTARIA;
301715;Documento_Publico.Escritura_Publica;JUZGADO PRIMERO PENAL PARA ADOLECDNTES DE SANTA MARTA;
485010;Documento_Publico.Escritura_Publica;;2015-10-06
484875;Documento_Publico.Escritura_Publica;NOTARIA;
