t_id_interesado;tipo_interesado;tipo_documento;documento_identidad;primer_nombre
513120;Persona_Juridica;Secuencial;000000000000;INVERSIONES-OSMAN-Y-COMPANIA-LIMI
513033;Persona_Juridica;Secuencial;000000000000;INVERSIONES-OSMAN-Y-COMPANIA-LIMI
513052;Persona_Juridica;Secuencial;000000000000;LEON-Y-CORREA-LIMITADA
513066;Persona_Juridica;Secuencial;000000000000;INVERSIONES-DONADO-LIMITADA
512896;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
513209;Persona_Juridica;Secuencial;000000000000;JOFAYMAN-SOCIEDAD-EN-COMANDITA
512895;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
512741;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
512728;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
512959;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
512929;Persona_Juridica;Secuencial;000000000000;MIPKO-CONSTRUCCIONES-SOCIEDAD-ANO
512701;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
513021;Persona_Juridica;Secuencial;000000000000;DORIA-GUELL-Y-GUEVARA-Q-LIMITADA
512996;Persona_Juridica;Secuencial;000000000000;UNIVERSIDAD-TECNOLOGICA-DEL-MAGDA
513296;Persona_Juridica;Secuencial;000000000000;HELACOL-SOCIEDAD-POR-ACCIONES-SIM
602618;Persona_Juridica;Secuencial;000000000000;INVERSIONES-DONADO-LIMITADA
513160;Persona_Juridica;Secuencial;000000000000;G-C-C-Y-COMPANIA-SOCIEDAD-EN-COMA
512629;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
513090;Persona_Juridica;Secuencial;000000000000;CERRO-BLANCO-SOCIEDAD-ANONIMA
512634;Persona_Juridica;Secuencial;000000000000;CLINICA-DE-LA-MUJER-LIMITADA
513210;Persona_Juridica;Secuencial;000000000000;INVERSIONES-DELGADO-SANCHEZ-Y-COM
513283;Persona_Juridica;Secuencial;000000000000;INVERSIONES-ANIRAJU-LIMITADA
512610;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
512842;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
512525;Persona_Juridica;Secuencial;000000000000;CERRO-BLANCO-SOCIEDAD-ANONIMA
513192;Persona_Juridica;Secuencial;000000000000;HERMANOS-BONILLA-ARIAS-LIMITADA
512972;Persona_Juridica;Secuencial;000000000000;UNIVERSIDAD-TECNOLOGICA-DEL-MAGDA
513173;Persona_Juridica;Secuencial;000000000000;FIDUCIARIA-TEQUENDAMA-SOCIEDAD-AN
513124;Persona_Juridica;Secuencial;000000000000;PAPEL-MUEBLES-LIMITADA
513028;Persona_Juridica;Secuencial;000000000000;PEVESCA-LIMITADA
513184;Persona_Juridica;Secuencial;000000000000;SEDIVISA-SOCIEDAD-POR-ACCIONES-SI
512727;Persona_Juridica;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA
513164;Persona_Juridica;Secuencial;000000000000;FIDUCIARIA-TEQUENDAMA-SOCIEDAD-AN
512863;Persona_Juridica;Secuencial;000000000000;SOCIEDAD-CONSTRUCTORA-DEL-BARRIO-
