t_id_interesado;tipo_interesado;tipo_documento;documento_identidad;primer_nombre;primer_apellido
594718;Persona_Natural;Secuencial;000000000000;ASPROVIC-ASOCIACION-PROVIVIENDA-C;
604403;Persona_Natural;Secuencial;000000000000;MINISTERIO-DEL-MEDIO-AMBIENTE;
601191;Persona_Natural;Secuencial;000000000000;INEM-SEDE-LAS-MALVINAS-INSTITUCIO;
601574;Persona_Natural;Secuencial;000000000000;CONJUNTO-RESIDENCIAL-VILLA-DANY;
597716;Persona_Natural;Secuencial;000000000000;FONDO-PARA-LA-REHABILITACION-SOCI;
595895;Persona_Natural;Secuencial;000000000000;LA-LEGION-DE-MARIA-DE-SANTA-MARTA;
597675;Persona_Natural;Secuencial;000000000000;ECOVIP-CORPORACION-ECOLOGICA-DE-V;
601165;Persona_Natural;Secuencial;000000000000;CORPORACION-DE-PESCADORES-CHINCHO;
593711;Persona_Natural;Secuencial;000000000000;LA-NACION-POR-CONDUCTO-DEL-FONDO-;
600802;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
603870;Persona_Natural;Secuencial;000000000000;JUNTA-DE-ACCION-COMUNAL-VEREDA-SA;
595128;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
600805;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
605050;Persona_Natural;Secuencial;000000000000;PROMIGAS;
604267;Persona_Natural;Secuencial;000000000000;MUNICIPIO-DE-SANTA-MARTA;
604275;Persona_Natural;Secuencial;000000000000;CARIB-BEACH-ESTATES;
600931;Persona_Natural;Secuencial;000000000000;PROCONSTRUCCIONES-DEL-MAGDALENA-L;
600803;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
595305;Persona_Natural;Secuencial;000000000000;UNISUR-UNIDAD-UNIVERSITARIA-DEL-S;
600808;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
601725;Persona_Natural;Secuencial;000000000000;AGRUPACION-COMERCIAL-CENTRO-EJECU;
