t_id_fuenteadministrativa;tipo_fuenteadministrativa;ente_emisor;fecha_documento_fuente
297762;Documento_Publico.Escritura_Publica;NOTARIA SEGUNDA DE SANTA MARTA;
484869;Documento_Publico.Escritura_Publica;NOTARIA;
299054;Documento_Publico.Escritura_Publica;;
297769;Documento_Publico.Escritura_Publica;;
484675;Documento_Publico.Escritura_Publica;NOTARIA;
301682;Documento_Publico.Escritura_Publica;NOTARIA 1 DE SANTA MARTA;
498030;Documento_Publico.Escritura_Publica;;
484674;Documento_Publico.Escritura_Publica;NOTARIA;
484658;Documento_Publico.Escritura_Publica;NOTARIA;
484929;Documento_Publico.Escritura_Publica;NOTARIA;
485005;Documento_Publico.Escritura_Publica;;2015-10-06
484868;Documento_Publico.Escritura_Publica;NOTARIA;
511741;Documento_Publico.Escritura_Publica;;
301696;Documento_Publico.Escritura_Publica;JUZGADO PRIMERO PENAL PARA ADOLECDNTES DE SANTA MARTA;
484555;Documento_Publico.Escritura_Publica;NOTARIA SEGUNDA DE SANTA MARTA;
