t_id_predio;numero_predial;fecha_inicio_tenencia;fecha_documento_fuente
667658;470010002000000070902904010064;2021-11-12;2021-12-15
748074;470010002000000070903922050438;2021-04-30;2021-05-19
659933;470010002000000076901904010406;2019-02-25;2020-11-24
1007686;470010002000000070905926030510;2022-08-30;2022-10-13
1032651;470010002000000070905928040553;2021-08-30;2021-09-13
721902;470010002000000070903908040155;2021-07-28;2021-08-24
3008559;470010106000000560901903080188;2022-02-09;2022-02-14
1060056;470010002000000076901903020347;2020-06-18;2020-11-24
721932;470010002000000070903911030210;2021-11-18;2022-01-12
721421;470010002000000070902913010243;2021-12-10;2022-03-11
968774;470010002000000070905927050537;2021-08-30;2021-09-13
821763;470010106000000560901901010008;2022-01-20;2022-04-08
789107;470010002000000070903913010244;2021-11-18;2021-12-20
728943;470010002000000070902907040136;2021-11-11;2021-12-15
1011963;470010106000000560901901060048;2022-03-17;2022-04-08
675514;470010002000000070902916050319;2021-08-24;2021-09-30
938852;470010106000000560901903020143;2022-02-09;2022-02-14
789001;470010002000000040901901010133;2019-05-09;2019-05-28
1069791;470010002000000070903902010023;2021-11-12;2021-12-16
3024141;470010002000000070902912010222;2021-04-30;2021-05-18
968580;470010002000000070905911050218;2021-08-30;2021-09-13
722782;470010002000000070905914010261;2022-08-30;2022-11-02
687038;470010002000000076901904050437;2019-09-03;2020-11-24
692697;470010106000000560901902050103;2021-11-05;2022-04-08
3007608;470010002000000076901902020285;2019-07-08;2020-11-24
722114;470010002000000070903918050360;2021-11-18;2022-01-12
658068;470010002000000070902911020205;2021-11-11;2022-01-26
3020733;470010002000000076901908010084;2020-03-12;2020-11-24
667085;470010002000000070902908020145;2021-11-30;2022-01-28
659807;470010002000000076901908020164;2019-05-03;2020-11-24
1032738;470010002000000070903909010162;2021-10-12;2021-11-24
3020808;470010002000000076901908010095;2020-03-04;2020-11-24
1052462;470010002000000070903904040074;2021-08-06;2021-09-15
1069797;470010002000000070903901040015;2021-10-26;2021-12-07
1060101;470010002000000070905928020547;2021-08-30;2021-09-13
964468;470010002000000070905908020146;2021-08-30;2021-09-13
784792;470010002000000070905905050099;2022-06-03;2022-08-01
3019113;470010002000000076901908010129;2019-11-25;2020-11-24
951611;470010002000000070905910030191;2022-08-02;2022-10-27
660036;470010002000000070903915030290;2021-09-07;2021-10-15
662479;470010002000000070905916010303;2022-06-24;2022-09-12
912397;470010002000000070905908050159;2022-09-23;2022-12-02
3016068;470010002000000076901908010111;2019-11-26;2020-11-24
1064124;470010002000000070905913040254;2022-06-16;2022-09-12
3014805;470010002000000040901900000093;2016-12-20;2016-12-23
1028660;470010002000000070903907040136;2021-08-25;2021-10-15
796937;470010104000000910903901080167;2018-01-23;2018-02-02
690629;470010106000000560901901050036;2021-11-23;2022-04-08
691083;470010002000000076901903080395;2019-02-25;2020-11-24
3022053;470010002000000076901902050309;2019-06-19;2020-11-24
660034;470010002000000070903904050079;2021-08-06;2021-09-15
947182;470010104000000910903901010149;2018-01-23;2018-02-02
721691;470010002000000070903901010004;2021-07-22;2021-08-24
3017067;470010002000000076901901060252;2019-12-06;2020-11-24
664359;470010002000000070905926020506;2021-08-30;2021-09-13
787917;470010002000000076901905030483;2019-11-08;2020-11-24
3006696;470010002000000076901905030486;2019-10-28;2020-11-24
1021510;470010002000000076901904050438;2020-08-31;2020-11-24
853217;470010104000000910903901000189;2018-01-23;2018-02-02
1003679;470010002000000070905919040374;2021-08-30;2021-09-13
721469;470010002000000070902914050279;2021-09-16;2021-11-22
675377;470010002000000070903906020107;2022-04-27;2022-07-27
668208;470010002000000070905914030272;2021-08-30;2021-09-13
3017496;470010002000000076901901030229;2020-06-19;2020-11-24
849895;470010002000000076901905050497;2019-07-17;2020-11-24
668713;470010002000000070905926050520;2021-08-30;2021-09-13
721117;470010002000000070902910010182;2021-11-24;2022-01-28
938789;470010002000000070903902030032;2021-10-19;2021-12-22
801165;470010002000000070903911020207;2022-02-17;2022-04-05
813178;470010002000000070903912050237;2022-02-17;2022-05-13
722642;470010002000000070905908020145;2022-05-26;2022-09-12
3013572;470010002000000076901902060318;2019-07-03;2020-11-24
808201;470010003000000050137000000000;2016-02-12;2022-08-09
659749;470010104000000910145000000000;2018-01-23;2018-02-02
659950;470010002000000070905918010343;2022-07-15;2022-10-07
925758;470010106000000560901901070050;2022-03-15;2022-04-08
789929;470010002000000070905917010322;2022-07-14;2022-10-07
3018624;470010002000000076901901010211;2018-10-17;2020-11-24
685635;470010002000000070905905040096;2022-07-08;2022-10-07
955443;470010002000000070902909030172;2022-03-10;2022-07-06
660020;470010002000000070905904010061;2022-05-10;2022-09-14
1024158;470010106000000560901902010065;2021-12-04;2022-04-08
1045428;470010002000000070905905050098;2022-08-26;2022-11-18
660030;470010002000000070905919040376;2022-06-28;2022-09-14
3024378;470010002000000076901901060249;2020-07-03;2020-11-24
689278;470010002000000070903902030030;2021-11-24;2022-01-19
726864;470010002000000076901904050434;2019-08-06;2020-11-24
721780;470010002000000070903904040073;2021-08-31;2021-10-07
968718;470010106000000560901904040217;2022-02-09;2022-02-14
942681;470010002000000040901901010036;2016-12-20;2016-12-23
940403;470010002000000040901901030049;2016-12-20;2016-12-23
1040768;470010002000000070903902020026;2021-11-05;2021-12-07
1056210;470010106000000560901903040155;2022-02-09;2022-02-14
3016833;470010002000000076901908010127;2019-12-12;2020-11-24
971907;470010002000000070903906050119;2021-09-27;2021-11-05
1041342;470010002000000076901903080394;2018-12-12;2020-11-24
1015575;470010106000000560901901020010;2021-12-06;2022-04-08
1003753;470010002000000070903918050357;2022-02-18;2022-06-10
3012321;470010106000000560901903020139;2022-02-09;2022-02-14
720197;470010002000000070902903030051;2021-12-22;2022-02-08
657986;470010106000000560901901070056;2021-11-11;2022-04-08
1069811;470010002000000070903903050057;2021-12-28;2022-04-21
664369;470010002000000070903908030149;2021-08-17;2021-09-15
965210;470010106000000560901904060238;2022-02-09;2022-02-14
946858;470010002000000070902915030292;2021-11-03;2021-12-02
1008082;470010106000000560901903070181;2022-02-09;2022-02-14
1069809;470010002000000070903904020067;2021-11-18;2021-12-16
1024291;470010002000000070902905050100;2021-09-10;2021-11-22
3023670;470010002000000076901908020207;2019-05-09;2020-11-24
678072;470010002000000070905902020026;2022-04-25;2022-06-03
1064089;470010002000000076901908020161;2019-05-17;2020-11-24
3012948;470010002000000076901908020169;2019-11-15;2020-11-24
664354;470010002000000070905925040494;2022-09-08;2022-11-01
1032768;470010106000000560901902070117;2021-12-01;2022-04-08
1056222;470010002000000040901900000092;2016-12-20;2016-12-23
667472;470010002000000070902906010101;2021-11-24;2022-01-28
659694;470010002000000070905909030169;2022-07-08;2022-09-14
722722;470010002000000070905905030091;2022-04-02;2022-07-01
1064113;470010002000000070905910050200;2022-04-11;2022-06-14
947962;470010104000000910903901130178;2018-01-23;2018-02-02
661323;470010002000000076901905030488;2019-09-11;2020-11-24
1011637;470010002000000070903924040474;2022-02-17;2022-05-20
1032759;470010002000000070903913050259;2021-10-08;2021-11-05
683442;470010002000000070905928030549;2021-08-30;2021-09-13
662499;470010002000000070905920040394;2022-07-06;2022-09-12
940381;470010106000000560901905040269;2022-02-09;2022-02-14
943354;470010106000000560901905060280;2022-02-09;2022-02-14
3024255;470010002000000076901901040240;2020-08-03;2020-11-24
720940;470010002000000070902907030131;2021-10-07;2021-12-02
659672;470010002000000070905911040216;2021-08-30;2021-09-13
968365;470010106000000560901905020263;2022-02-09;2022-02-14
723065;470010002000000070905923030450;2022-09-13;2022-11-18
912468;470010002000000076901905050501;2020-05-13;2020-11-24
722730;470010002000000070905910010182;2022-10-07;2022-11-28
720543;470010002000000070902905010081;2021-11-19;2022-01-28
740257;470010106000000560901901080057;2022-01-27;2022-04-08
722692;470010002000000070905908050160;2022-04-30;2022-06-21
3013878;470010002000000076901901020222;2019-10-31;2020-11-24
1048822;470010002000000070902915020287;2021-09-10;2021-11-22
746167;470010002000000070903915040295;2021-08-04;2021-08-25
687627;470010002000000070905922020427;2021-08-30;2021-09-13
785932;470010106000000560901902020073;2022-01-20;2022-04-08
942480;470010002000000070903918010341;2021-09-30;2021-12-30
995660;470010002000000076901904030420;2019-04-22;2020-11-24
1009756;470010002000000070902901030010;2021-10-08;2021-11-22
721900;470010002000000070903909030172;2021-10-06;2021-11-04
788451;470010002000000070905923010444;2021-08-30;2021-09-13
3014181;470010002000000076901908010112;2019-10-15;2020-11-24
659929;470010002000000070903910030192;2022-02-18;2022-06-10
721830;470010002000000070903907030130;2021-08-06;2021-08-25
1069743;470010002000000070902906030112;2022-06-28;2022-09-22
790535;470010002000000070902909030171;2021-12-10;2022-02-04
722562;470010002000000070905901030009;2022-04-26;2022-07-06
721860;470010002000000070903907050137;2021-08-10;2021-09-02
959747;470010002000000040901901010176;2021-08-31;2022-02-28
1069913;470010002000000070905913020248;2022-06-07;2022-08-01
687382;470010002000000070903922030430;2022-02-16;2022-06-10
3013323;470010002000000076901903050375;2019-05-13;2020-11-24
3010698;470010002000000070903903040056;2021-07-27;2021-08-25
721982;470010002000000070903911040213;2022-02-17;2022-06-10
968647;470010002000000070905913020245;2021-08-30;2021-09-13
967193;470010002000000070905913010243;2021-08-30;2021-09-13
721199;470010002000000070902910020187;2021-11-19;2022-01-28
797025;470010002000000076901908020201;2019-09-30;2020-11-24
691198;470010002000000070903903050060;2021-09-14;2021-10-22
721427;470010002000000070902913050259;2021-11-18;2022-02-08
964522;470010002000000070905918010341;2021-08-30;2021-09-13
1011944;470010106000000560901902010070;2021-07-21;2022-04-08
761433;470010002000000076901904070455;2019-05-16;2020-11-24
1011961;470010106000000560901901050033;2021-11-10;2022-04-08
3016155;470010002000000076901902060313;2019-09-03;2020-11-24
1028867;470010002000000070902907040134;2021-11-02;2021-11-30
740289;470010104000000910903901000217;2018-01-23;2018-02-02
922369;470010002000000040901901030044;2016-12-20;2016-12-23
3017517;470010002000000076901902040303;2019-06-28;2020-11-24
675520;470010002000000070902905040093;2021-08-27;2021-09-24
678092;470010002000000070905916040315;2022-07-07;2022-09-12
3014202;470010002000000076901901040236;2019-10-15;2020-11-24
721161;470010002000000070902910050200;2022-04-29;2022-09-07
659111;470010002000000070903905020088;2021-08-31;2021-10-07
1007782;470010002000000070902910030190;2021-11-12;2022-01-26
722086;470010002000000070903914010262;2022-02-16;2022-05-20
938275;470010002000000070905907050137;2022-05-10;2022-07-29
698634;470010002000000070905919010362;2021-08-30;2021-09-13
913949;470010002000000070903922040436;2021-11-22;2022-01-12
1069711;470010002000000070902902030031;2021-08-17;2021-09-24
917212;470010002000000023426000000000;2022-04-26;2022-04-29
1007648;470010002000000076901905030481;2019-12-18;2020-11-24
3013458;470010002000000076901908010143;2020-08-21;2020-11-24
661383;470010002000000076901902040297;2020-06-04;2020-11-24
1024179;470010106000000560901902030088;2022-02-11;2022-04-08
721665;470010002000000070902915040293;2021-10-13;2021-11-22
1071777;470010002000000040901901010138;2017-03-16;2017-03-30
966420;470010106000000560901905080287;2022-02-09;2022-02-14
912677;470010002000000070905922010421;2021-08-30;2021-09-13
785944;470010106000000560901902010069;2021-11-22;2022-04-08
745304;470010002000000070903911040215;2021-12-03;2022-01-19
1064250;470010002000000070902916040316;2021-08-05;2021-09-03
1048651;470010002000000076901908010153;2019-05-22;2020-11-24
952592;470010002000000070903922040434;2021-11-29;2022-01-13
722523;470010002000000070905901020006;2022-06-23;2022-09-12
676193;470010002000000070905913020247;2022-07-01;2022-09-14
940854;470010002000000070905925020487;2021-08-30;2021-09-13
720145;470010002000000070902902050037;2021-08-25;2021-10-07
789515;470010002000000070903921030409;2021-11-18;2022-01-13
675340;470010002000000070905918040354;2021-08-30;2021-09-13
977051;470010002000000070902901030009;2021-08-24;2021-09-29
896315;470010002000000020510000000000;2022-07-01;2022-12-14
968792;470010002000000070903912030231;2021-04-30;2021-05-19
796915;470010104000000910903901030154;2018-01-23;2018-02-02
720936;470010002000000070902908010143;2021-11-12;2022-01-25
984893;470010002000000070905917030330;2022-09-30;2022-12-02
939208;470010106000000560901902040090;2022-03-24;2022-04-08
720241;470010002000000070902904040073;2021-11-12;2022-01-26
971825;470010002000000070905902050037;2021-08-30;2021-09-13
722570;470010002000000070905902050038;2022-04-22;2022-06-21
981794;470010002000000076901902050312;2019-09-27;2020-11-24
685687;470010002000000076901903040367;2018-12-07;2020-11-24
722296;470010002000000070903920040396;2021-08-25;2021-10-15
801511;470010104000000910903901000187;2018-01-23;2018-02-02
1052592;470010002000000070902913020247;2022-06-13;2022-09-12
1007644;470010002000000076901904040428;2019-03-11;2020-11-24
1059711;470010002000000040901900000112;2016-12-20;2016-12-23
967892;470010002000000070905904050079;2021-08-30;2021-09-13
1064122;470010002000000070905913040253;2022-06-16;2022-09-27
726819;470010002000000076901904060443;2019-02-13;2020-11-24
1028872;470010002000000070902903030050;2021-08-31;2021-09-24
941924;470010002000000070903909050180;2021-04-30;2021-05-19
800218;470010002000000076901904020415;2019-03-14;2020-11-24
3023484;470010002000000076901908010081;2020-10-09;2020-11-24
721886;470010002000000070903907050139;2021-08-02;2021-08-24
1032755;470010002000000070903906050118;2021-10-15;2021-12-07
1060073;470010002000000070905912010224;2022-07-06;2022-09-22
1071955;470010002000000023453000000000;2023-06-15;2024-08-15
722511;470010002000000070903924030469;2021-11-24;2022-03-23
1069877;470010002000000070903920040393;2021-08-17;2021-09-30
1070162;470010002000000076901908020183;2019-05-23;2020-11-24
1000067;470010002000000070902906010102;2021-09-27;2021-11-22
964657;470010002000000040901900000097;2016-12-20;2016-12-23
664434;470010002000000070902904020066;2021-10-27;2022-01-27
3016071;470010002000000076901901050243;2018-10-17;2020-11-24
722724;470010002000000070905909040173;2022-06-10;2022-10-07
3007314;470010002000000076901901080270;2020-07-16;2020-11-24
666306;470010002000000070902911040215;2021-11-03;2022-01-25
861891;470010002000000070902915040294;2022-03-30;2022-05-26
1028662;470010002000000070903910030189;2021-11-30;2022-01-12
722298;470010002000000070903920050399;2021-08-18;2021-09-15
657927;470010002000000076901903040368;2019-02-20;2020-11-24
1004346;470010002000000070903906010102;2021-11-03;2022-01-12
3023856;470010002000000076901908010130;2020-07-16;2020-11-24
726629;470010002000000076901903070391;2018-12-11;2020-11-24
1064260;470010002000000070902905050099;2021-08-30;2021-11-22
1066661;470010002000000070905906040113;2022-06-24;2022-09-22
747663;470010002000000070903919020366;2021-11-18;2021-12-15
1048687;470010002000000070905923050457;2021-08-30;2021-09-13
1032556;470010002000000070905901050018;2022-05-04;2022-07-28
659717;470010002000000070903902040034;2021-11-03;2021-12-24
1041401;470010002000000040901901010166;2016-12-20;2016-12-23
1048796;470010002000000070802800002054;2022-02-23;2022-08-23
722612;470010002000000070905903050058;2022-05-31;2022-07-12
727095;470010002000000076901908020208;2019-05-27;2020-11-24
683296;470010002000000070903920030390;2021-11-03;2021-12-22
1069751;470010002000000070902908040155;2021-12-17;2022-02-04
975460;470010104000000910903901000198;2018-01-23;2018-02-02
1040686;470010002000000070905907010124;2022-06-24;2022-09-27
3007716;470010002000000076901908020193;2019-10-11;2020-11-24
3014262;470010106000000560901904050228;2022-02-09;2022-02-14
3011508;470010106000000560901904080255;2022-02-09;2022-02-14
3012309;470010002000000076901908020185;2020-08-19;2020-11-24
722250;470010002000000070903919020367;2021-12-15;2022-04-21
666299;470010002000000070902908010142;2022-08-16;2022-10-27
3014367;470010002000000040901901030046;2016-12-20;2016-12-23
698744;470010002000000070903914040273;2021-08-02;2021-08-25
1014439;470010002000000070903911020208;2022-02-18;2022-05-13
1069843;470010002000000070903914040276;2021-07-23;2021-08-24
998717;470010002000000040901900000102;2016-12-20;2016-12-23
659927;470010002000000070903908020145;2021-07-28;2021-08-13
789214;470010002000000070903915040294;2021-09-30;2021-11-04
785920;470010106000000560901901050038;2021-12-27;2022-04-08
722606;470010002000000070905903020045;2022-05-23;2022-09-12
938303;470010002000000070905911010204;2022-07-19;2022-09-22
667071;470010002000000070903905040095;2021-12-22;2022-04-07
721914;470010002000000070903909020167;2021-08-06;2021-10-15
941181;470010002000000070905907020128;2022-03-30;2022-05-26
1015577;470010106000000560901901040029;2021-12-21;2022-04-08
3015747;470010002000000076901901010212;2020-02-04;2020-11-24
992363;470010002000000070902911020206;2021-12-17;2022-02-14
723061;470010002000000070905925010483;2022-07-15;2022-09-22
721826;470010002000000070903905040096;2021-11-30;2022-01-12
3009369;470010002000000040901901010162;2016-12-20;2016-12-23
1052514;470010002000000070903920020388;2021-11-08;2021-12-15
3019371;470010002000000076901902070322;2019-04-23;2020-11-24
801467;470010002000000070903922010424;2021-11-18;2022-01-13
1041460;470010106000000560901902070114;2022-01-20;2022-04-08
668183;470010002000000076901904010403;2019-02-18;2020-11-24
3012540;470010106000000560901905080286;2022-02-09;2022-02-14
675335;470010002000000070905916020308;2021-08-30;2021-09-13
1040682;470010002000000076901901040234;2019-02-15;2020-11-24
722108;470010002000000070903916030312;2021-11-04;2021-12-15
721340;470010002000000070902913010242;2021-11-24;2022-01-28
796977;470010106000000560901902070116;2022-01-21;2022-04-08
659975;470010002000000040901901010180;2018-12-14;2022-09-07
3006735;470010002000000070902912020225;2021-04-30;2021-05-18
1069923;470010002000000070905917040333;2022-06-06;2022-07-28
1028579;470010002000000076901904080462;2019-03-13;2020-11-24
1040878;470010106000000560901902050101;2021-12-09;2022-04-08
658572;470010002000000070905920010382;2022-07-15;2022-09-14
3018918;470010002000000076901903050373;2018-12-26;2020-11-24
1032683;470010002000000040901901010140;2021-10-06;2021-12-13
963903;470010002000000070902906040114;2021-11-02;2022-01-25
689255;470010002000000076901903070387;2019-07-19;2020-11-24
1020393;470010002000000070903913040255;2021-08-06;2021-10-07
722860;470010002000000070905917040335;2022-06-10;2022-09-12
1060071;470010002000000076901905050498;2020-03-05;2020-11-24
3020799;470010002000000076901903060378;2018-12-28;2020-11-24
678068;470010002000000070905901050020;2022-05-14;2022-07-06
955128;470010002000000040901900000113;2016-12-20;2016-12-23
1030967;470010104000000910903901000200;2018-01-23;2018-02-02
3015450;470010002000000040901900000120;2016-12-20;2016-12-23
1052464;470010002000000070903904040076;2022-02-18;2022-05-20
3017166;470010002000000076901908010101;2019-12-02;2020-11-24
675389;470010002000000070903907030129;2021-11-23;2022-01-12
1009743;470010002000000070902907030130;2021-10-26;2021-12-02
720588;470010002000000070902905020087;2021-08-30;2021-09-24
808201;470010003000000050137000000000;2016-02-12;2021-06-03
1048730;470010002000000070903922030429;2022-02-17;2022-05-20
3007629;470010002000000040901900000103;2016-12-20;2016-12-23
732093;470010002000000070905914040273;2022-05-19;2022-07-29
964173;470010002000000070905924020466;2021-08-30;2021-09-13
968017;470010002000000040901900000091;2016-12-20;2016-12-23
940390;470010002000000040901900000082;2016-12-20;2016-12-23
666236;470010002000000070903908040156;2021-07-23;2021-09-02
721934;470010002000000070903912010221;2021-11-25;2022-01-13
1032776;470010104000000910903901080166;2018-01-23;2018-02-02
762080;470010002000000076901903050369;2019-02-15;2020-11-24
657833;470010002000000076901903060384;2019-07-30;2020-11-24
691138;470010002000000076901905060510;2020-01-14;2020-11-24
1017143;470010002000000070902906040113;2021-11-17;2022-02-08
788606;470010002000000070905925030491;2022-09-09;2022-11-02
1069845;470010002000000070903915030289;2021-08-27;2021-11-30
1052504;470010106000000560901902030086;2021-12-20;2022-04-08
789778;470010002000000070905916040316;2022-07-14;2022-10-07
1028793;470010104000000910903901100171;2018-01-23;2018-02-02
740263;470010002000000070903919030371;2021-07-28;2021-09-02
3010407;470010002000000076901901010214;2020-04-27;2020-11-24
1048826;470010002000000070902916010303;2021-08-02;2021-08-23
822213;470010002000000070905912050238;2022-06-24;2022-10-07
722519;470010002000000070903924010464;2021-11-30;2022-02-10
721848;470010002000000070903906030111;2021-10-14;2021-12-29
834999;470010104000000910903901000210;2018-01-23;2018-02-02
662497;470010002000000070905916040313;2022-07-08;2022-09-23
886368;470010106000000560901902010066;2022-02-01;2022-04-08
722634;470010002000000070905904020066;2022-06-14;2022-07-12
1056366;470010002000000070902915010284;2021-07-28;2021-09-29
1041584;470010002000000070902904030071;2022-07-15;2022-09-27
1045936;470010002000000070903923040455;2021-11-17;2021-12-24
668718;470010002000000070903903020046;2021-09-20;2021-11-04
1069915;470010002000000070905910040193;2022-06-23;2022-09-12
668711;470010002000000070905921040413;2022-06-30;2022-09-12
727979;470010002000000070903924050477;2021-11-22;2022-01-13
800220;470010002000000076901904020412;2019-02-11;2020-11-24
721784;470010002000000070903904050077;2021-11-12;2021-12-15
1056386;470010002000000070902904040076;2022-02-15;2022-03-24
683290;470010002000000070903914020267;2021-07-22;2021-09-02
721077;470010002000000070902908050160;2022-02-17;2022-04-08
1048662;470010002000000070905911010202;2022-04-25;2022-06-21
