t_id_interesado;tipo_interesado;tipo_documento;documento_identidad;primer_nombre;primer_apellido
601997;Persona_Natural;Secuencial;000000000000;JUNTA-DE-ACCION-COMUNAL-DE-LA-URB;
600470;Persona_Natural;Secuencial;000000000000;INVERSIONES-OSMAN-Y-COMPANIA-LIMI;
600239;Persona_Natural;Secuencial;000000000000;FONDO-PARA-LA-REHABILITACION-SOCI;
593558;Persona_Natural;Secuencial;000000000000;L-SCHONWALD-Y-ASOCIADOS-LIMITADA;
604082;Persona_Natural;Secuencial;000000000000;SOPENMAG-SOCIEDAD-PENSIONADOS-DE-;
594192;Persona_Natural;Secuencial;000000000000;COMUNIDAD-CRISTINA-INTEGRAL-CENTR;
593375;Persona_Natural;Secuencial;000000000000;HERNANDEZ-COBA-LIMITADA;
593895;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
602822;Persona_Natural;Secuencial;000000000000;FAJARDO-FALLON-Y-COMPANIA-SOCIEDA;
599920;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
593787;Persona_Natural;Secuencial;000000000000;LA-BENEFICENCIA-DEL-MAGDALENA;
602582;Persona_Natural;Secuencial;000000000000;JUNTA-DE-ACCION-COMUNAL-DE-CABANA;
598934;Persona_Natural;Secuencial;000000000000;UNIVERSIDAD-TECNOLOGICA-DEL-MAGDA;
595606;Persona_Natural;Secuencial;000000000000;INMUEBLES-MOGGIO-LIMITADA;
604143;Persona_Natural;Secuencial;000000000000;ESARCO-Y-ASOCIADOS-LIMITADA;
598706;Persona_Natural;Secuencial;000000000000;INVERSIONES-SERRANO-OGLIASTRI-LIM;
593902;Persona_Natural;Secuencial;000000000000;HERNANDEZ-SANCHEZ-HERMANOS-Y-COMP;
608698;Persona_Natural;Cedula_Ciudadania;1136888781;DANIEL ARTURO MARCUCCI CAMPO;
596724;Persona_Natural;Secuencial;000000000000;INVERSIONES-DIAZGRANADOS-Y-SOTOMA;
594177;Persona_Natural;Secuencial;000000000000;URBANIZADORA-SANTA-MARTA-LIMITADA;
599444;Persona_Natural;Secuencial;000000000000;UNIVERSIDAD-TECNOLOGICA-DEL-MAGDA;
600934;Persona_Natural;Secuencial;000000000000;CERRO-BLANCO-SOCIEDAD-ANONIMA;
